student,college,college_clean,done,exclude,notes
Cherry,Colorado State-Pueblo,Colorado State,x,,
Cherry,Colorado-Colorado Springs,Colorado,x,,
Cherry,Columbia,Columbia,x,,
Cherry,Columbia College,Columbia College,x,,
Cherry,Columbia College (MO),Columbia College (MO),x,,
Cherry,Columbia University,Columbia,x,,
Cherry,Columbus State,Columbus State,x,,
Cherry,Columbus State University,Columbus State,x,,
Cherry,"Community College of Baltimore County, Essex",CC Baltimore County,x,,
Cherry,Community College of Philadelphia,CC Philadelphis,x,,
Cherry,Community College of Rhode Island,CC Rhode Island,x,,
Cherry,Concordia,Concordia,x,,
Cherry,Concordia (Mich.),Concordia (MI),x,,
Cherry,Concordia University,Concordia,x,,
Cherry,Concordia-St. Paul,Concordia,x,,
Cherry,Connecticut,Connecticut,x,,
Cherry,Connecticut College,Connecticut College,x,,
Cherry,Connecticut Sun,Connecticut Sun,x,Y,wnba
Cherry,Connors State College,Connors,x,,
Cherry,Converse College,Converse,x,,
Cherry,Converse University,Converse,x,,
Cherry,Copiah-Lincoln Community College,Copiah-Lincoln CC,x,,
Cherry,Coppin State,Coppin State,x,,
Cherry,Coppin State University,Coppin State,x,,
Cherry,Cornell,Cornell,x,,
Cherry,Cornell University,Cornell,x,,
Cherry,Cornerstone University,Cornerstone,x,,
Cherry,Coventry University,Coventry,x,,
Cherry,Creighton,Creighton,x,,
Cherry,Creighton University,Creighton,x,,
Cherry,Crown,Crown,x,,
Cherry,Culver-Stockton College,Culver-Stockton College,x,,
Cherry,Cuyahoga Community College,Cuyahoga CC,x,,
Cherry,D'Youville,D'Youville,x,,
Cherry,Daemen College,Daemen,x,,
Cherry,Daemen University,Daemen,x,,
Cherry,Dakota Wesleyan,Dakota Wesleyan,x,,
Cherry,Dallas Mavericks,Dallas Mavericks,x,Y,nba
Cherry,Dallas Wings,Dallas Wings,x,Y,wnba
Cherry,Danville Area Community College,Danville Area CC,x,,
Cherry,Dartmouth,Dartmouth,x,,
Cherry,Dartmouth College,Dartmouth,x,,
Cherry,Davenport University,Davenport,x,,
Cherry,Davidson,Davidson,x,,
Cherry,Davidson College,Davidson,x,,
Cherry,Dayton,Dayton,x,,
Cherry,Daytona State,Dayton,x,,
Cherry,Daytona State College,Dayton,x,,
Cherry,DePaul,DePaul,x,,
Cherry,Dean College,Dean,x,,
Cherry,Defiance College,Defiance,x,,
Cherry,Delaware,Delaware,x,,
Cherry,Delaware State,Delaware State,x,,
Cherry,Delta State,Delta State,x,,
Cherry,Delta State University,Delta State,x,,
Cherry,Denver,Denver,x,,
Cherry,Denver Nuggets,Denver Nuggets,x,Y,nba
Cherry,Detroit,Detroit,x,,
Cherry,Detroit Mercy,Detroit Mercy,x,,
Cherry,Detroit Pistons,Detroit Pistons,x,Y,nba
Cherry,Diablo Valley College,Diablo Valley CC,x,,
Cherry,Dickinson College,Dickinson,x,,
Cherry,Dillard University,Dillard,x,,
Cherry,Dixie State,Dixie State,x,,
Cherry,Doane University,Doane,x,,
Cherry,Dodge City Community College,Dodge City CC,x,,
Cherry,Dominican University,Dominican,x,,
Cherry,Dominican University of California,Dominican,x,,
Cherry,Drake,Drake,x,,
Cherry,Drake University,Drake,x,,
Cherry,Drexel,Drexel,x,,
Cherry,Drexel University,Drexel,x,,
Cherry,Drury,Drury,x,,
Cherry,Drury University,Drury,x,,
Cherry,Dubuque,Dubuque,x,,
Cherry,Duke,Duke,x,,
Cherry,Duquesne,Duquesne,x,,
Cherry,Durham,Durham,x,,
Cohen,ETSU,ETSU,x,,
Cohen,East Carolina,East Carolina,x,,
Cohen,East Carolina University,East Carolina,x,,
Cohen,East Central,East Central CC,x,,
Cohen,East Central Community College,East Central CC,x,,
Cohen,East Georgia State College,East Georgia State College,x,,
Cohen,East Mississippi CC,East Mississippi CC,x,,
Cohen,East Mississippi Community College,East Mississippi CC,x,,
Cohen,East Stroudsburg,East Stroudsburg,x,,
Cohen,East Stroudsburg University,East Stroudsburg,x,,
Cohen,East Tennessee State,ETSU,x,,
Cohen,Eastern Arizona College,Eastern Arizona College,x,,
Cohen,Eastern Illinois,Eastern Illinois,x,,
Cohen,Eastern Kentucky,Eastern Kentucky,x,,
Cohen,Eastern Kentucky University,Eastern Kentucky,x,,
Cohen,Eastern Michigan,Eastern Michigan,x,,
Cohen,Eastern Michigan University,Eastern Michigan,x,,
Cohen,Eastern Nazarene College,Eastern Nazarene College,x,,
Cohen,Eastern New Mexico,Eastern New Mexico,x,,
Cohen,Eastern New Mexico University,Eastern New Mexico,x,,
Cohen,Eastern Oklahoma State College,Eastern Oklahoma State College,x,,
Cohen,Eastern Washington,Eastern Washington,x,,
Cohen,Eastern Washington University,Eastern Washington,x,,
Cohen,Eckerd College,Eckerd College,x,,
Cohen,Edgewood College,Edgewood College,x,,
Cohen,El Camino College,El Camino College,x,,
Cohen,Elizabeth City State,Elizabeth City State,x,,
Cohen,Elizabeth City State University,Elizabeth City State,x,,
Cohen,Elkins,Elkins,x,,
Cohen,Elmhurst,Elmhurst,x,,
Cohen,Elmira College,Elmira College,x,,
Cohen,Elon,Elon,x,,
Cohen,Embry-Riddle Aeronautical University,Embry-Riddle Aeronautical,x,,
Cohen,Emerson College,Emerson College,x,,
Cohen,Emmanuel College,Emmanuel College,x,,
Cohen,Emporia State,Emporia State,x,,
Cohen,Emporia State University,Emporia State,x,,
Cohen,Erie Community College,Erie CC,x,,
Cohen,Eureka College,Eureka College,x,,
Cohen,Evangel University,Evangel,x,,
Cohen,Evansville,Evansville,x,,
Cohen,Evergreen State,Evergreen State,x,,
Cohen,FDU,Fairleigh Dickinson,x,,
Cohen,FDU-Florham,Fairleigh Dickinson,x,,
Cohen,FIU,FIU,x,,
Cohen,Fairfield,Fairfield,x,,
Cohen,Fairfield University,Fairfield,x,,
Cohen,Fairleigh Dickinson,Fairleigh Dickinson,x,,
Cohen,Fairleigh Dickinson University,Fairleigh Dickinson,x,,
Cohen,Fairleigh Dickinson-Florham,Fairleigh Dickinson,x,,
Cohen,Fairleigh Dickinson-Madison,Fairleigh Dickinson-Madison,x,,
Cohen,Faulkner,Faulkner,x,,
Cohen,Faulkner University,Faulkner,x,,
Cohen,Fayetteville State,Fayetteville State,x,,
Cohen,Feather River College,Feather River College,x,,
Cohen,Ferris State,Ferris State,x,,
Cohen,Ferrum College,Ferrum College,x,,
Cohen,Flagler,Flagler,x,,
Cohen,Flagler College,Flagler,x,,
Cohen,Florida,Florida,x,,
Cohen,Florida A&M,Florida A&M,x,,
Cohen,Florida A&M University,Florida A&M,x,,
Cohen,Florida Atlantic,FAU,x,,
Cohen,Florida Atlantic University,FAU,x,,
Cohen,Florida College,Florida College,x,,
Cohen,Florida Gulf Coast,FGCU,x,,
Cohen,Florida Gulf Coast University,FCGU,x,,
Cohen,Florida International,FIU,x,,
Cohen,Florida International University,FIU,x,,
Cohen,Florida Memorial University,Florida Memorial,x,,
Cohen,Florida Southern,Florida Southern,x,,
Cohen,Florida Southern College,Florida Southern,x,,
Cohen,Florida Southwestern State,Florida Southwestern State,x,,
Cohen,Florida Southwestern State College,Florida Southwestern State,x,,
Cohen,Florida State,Florida State,x,,
Cohen,Florida State College at Jacksonville,Florida State College at Jacksonville,x,,
Cohen,Florida State University,Florida State,x,,
Cohen,Fordham,Fordham,x,,
Cohen,Fordham University,Fordham,x,,
Cohen,Fort Hays State,Fort Hays State,x,,
Cohen,Fort Lewis College,Fort Lewis College,x,,
Cohen,Fort Valley State,Fort Valley State,x,,
Cohen,Francis Marion,Francis Marion,x,,
Cohen,Frank Phillips College,Frank Phillips College,x,,
Cohen,Franklin College,Franklin College,x,,
Cohen,Franklin Pierce,Franklin Pierce,x,,
Cohen,Fresno Pacific,Fresno Pacific,x,,
Cohen,Fresno State,Fresno State,x,,
Cohen,Friends University,Friends,x,,
Cohen,Frostburg State,Frostburg State,x,,
Cohen,Fullerton College,Fullerton College,x,,
Cohen,Furman,Furman,x,,
Cohen,Gallaudet University,Gallaudet,x,,
Cohen,Gannon,Gannon,x,,
Cohen,Gannon University,Gannon,x,,
Cohen,Garden City Community College,Garden City CC,x,,
Cohen,Gardner Webb,Gardner Webb,x,,
Cohen,Gardner-Webb,Gardner-Webb,x,,
Cohen,Geneva College,Geneva College,x,,
Cohen,George Fox,George Fox,x,,
Cohen,George Fox University,George Fox,x,,
Cohen,George Mason,George Mason,x,,
Cohen,George Washington,George Washington,x,,
Cohen,George Washington University,George Washington,x,,
Cohen,Georgetown,Georgetown,x,,
Cohen,Georgetown College,Georgetown College,x,,
Cohen,Georgetown University,Georgetown,x,,
Cohen,Georgia,Georgia,x,,
Cohen,Georgia College & State University,Georgia College and State,x,,
Cohen,Georgia College and State University,Georgia College and State,x,,
Cohen,Georgia Southern,Georgia Southern,x,,
Cohen,Georgia Southwestern,Georgia Southwestern,x,,
Cohen,Georgia Southwestern State,Georgia Southwestern,x,,
Cohen,Georgia State,Georgia State,x,,
Cohen,Georgia Tech,Georgia Tech,x,,
Cohen,Georgian Court University,Georgian Court,x,,
Cohen,Glenville State,Glenville State,x,,
Cohen,Gonzaga,Gonzaga,x,,
Cohen,Gordon College,Gordon College,x,,
Cohen,Goucher College,Goucher College,x,,
Cohen,Grace University,Grace,x,,
Cohen,Grambling,Grambling State,x,,
Cohen,Grambling State,Grambling State,x,,
Cohen,Grand Canyon,Grand Canyon,x,,
Cohen,Grand Canyon University,Grand Canyon,x,,
Cohen,Grand Valley State,Grand Valley State,x,,
Cohen,Grand View,Grand View,x,,
Cohen,Gravette,Gravette,x,,
Cohen,Grayson College,Grayson College,x,,
Cohen,Great Bay Community College,Great Bay CC,x,,
Cohen,Green Bay,Green Bay,x,,
Cohen,Greenbrier,Greenbrier,x,,
Cohen,Grove City College,Grove City College,x,,
Cohen,Guilford,Guilford,x,,
Cohen,Gulf Coast State,Gulf Coast State,x,,
Cohen,Gulf Coast State College,Gulf Coast State,x,,
Cohen,Hampden-Sydney,Hampden-Sydney,x,,
Cohen,Hampton,Hampton,x,,
